region	n	trait	results	abbreviation	category	color
region_chr13_73359952_75096006	1	UKB_20002_1111_self_reported_asthma	gwas	ATH_UKBS	Allergy	#FFFF00
region_chr1_84378812_85989068	6	GIANT_HEIGHT	gwas	HEIGHT	Anthropometric	#404040
region_chr2_109814855_113164279	1	IMMUNOBASE_Systemic_lupus_erythematosus_hg19	gwas	SLE	Immune	#40A0A0
region_chr2_214709071_216850938	12	UKB_50_Standing_height	gwas	HEIGHT_UKB	Anthropometric	#404040
region_chr5_31390142_33500075	463	GIANT_HEIGHT	gwas	HEIGHT	Anthropometric	#404040
region_chr12_63638681_65165915	142	UKB_50_Standing_height	gwas	HEIGHT_UKB	Anthropometric	#404040
region_chr13_31727678_33202766	112	UKB_50_Standing_height	gwas	HEIGHT_UKB	Anthropometric	#404040
region_chr16_2714828_3951195	20	Astle_et_al_2016_Sum_eosinophil_basophil_counts	gwas	EBC	Blood	#C00000
region_chr18_45342141_46719283	30	UKB_2395_4_Hair_or_balding_pattern_Pattern_4	gwas	BLDP4_UKB	Hair morphology	#808000
region_chr1_219417229_221684889	148	Astle_et_al_2016_Reticulocyte_count	gwas	RET	Blood	#C00000
region_chr6_109983044_112023811	23	UKB_2395_4_Hair_or_balding_pattern_Pattern_4	gwas	BLDP4_UKB	Hair morphology	#808000
region_chr7_25869935_28320690	22	UKB_6152_8_diagnosed_by_doctor_Asthma	gwas	ATH_UKB	Immune	#40A0A0
region_chr10_96062600_98481545	286	Astle_et_al_2016_Myeloid_white_cell_count	gwas	MWBC	Blood	#C00000
region_chr11_77086163_78644013	6	UKB_50_Standing_height	gwas	HEIGHT_UKB	Anthropometric	#404040
region_chr13_26710225_28683414	3	UKB_23099_Body_fat_percentage	gwas	FAT_UKB	Anthropometric	#404040
region_chr17_38653091_40721152	73	IBD.EUR.Ulcerative_Colitis	gwas	UC	Immune	#40A0A0
region_chr18_3891658_5834181	14	UKB_1180_Morning_or_evening_person_chronotype	gwas	CHRONO_UKB	Psychiatric-neurologic	#0000A0
region_chr3_147008842_149325450	91	UKB_20022_Birth_weight	gwas	BW_UKB	Anthropometric	#404040
region_chr4_54563389_55681477	14	Astle_et_al_2016_Neutrophil_count	gwas	NC	Blood	#C00000
region_chr4_86613495_88316876	546	UKB_20002_1466_self_reported_gout	gwas	GOUT_UKBS	Skeletal system disease	#B0B0FF
region_chr6_133923105_135903039	123	Astle_et_al_2016_Neutrophil_count	gwas	NC	Blood	#C00000
region_chr8_143155464_145078481	1	UKB_20002_1111_self_reported_asthma	gwas	ATH_UKBS	Allergy	#FFFF00
region_chr9_10023_1079707	38	Astle_et_al_2016_Platelet_count	gwas	PLT	Blood	#C00000
region_chr10_113568673_114661647	6	EGG_BW3_EUR	gwas	BW	Anthropometric	#404040
region_chr11_59013076_62456299	59	UKB_50_Standing_height	gwas	HEIGHT_UKB	Anthropometric	#404040
region_chr18_59963251_61353518	407	UKB_23099_Body_fat_percentage	gwas	FAT_UKB	Anthropometric	#404040
region_chr1_44503511_46433829	288	Astle_et_al_2016_Granulocyte_count	gwas	GC	Blood	#C00000
region_chr21_33853161_35152076	116	Astle_et_al_2016_Eosinophil_counts	gwas	EC	Blood	#C00000
region_chr2_217530757_219589829	984	GIANT_HEIGHT	gwas	HEIGHT	Anthropometric	#404040
region_chr3_141620255_143445786	166	Astle_et_al_2016_Reticulocyte_count	gwas	RET	Blood	#C00000
region_chr3_187172556_189138425	69	UKB_6152_8_diagnosed_by_doctor_Asthma	gwas	ATH_UKB	Immune	#40A0A0
region_chr3_46616010_47685722	392	Astle_et_al_2016_Lymphocyte_counts	gwas	LC	Blood	#C00000
region_chr5_170078660_171647288	482	UKB_21001_Body_mass_index_BMI	gwas	BMI_UKB	Anthropometric	#404040
region_chr6_28949831_29770194	859	Astle_et_al_2016_Monocyte_count	gwas	MC	Blood	#C00000
region_chr7_6534226_7769121	4	UKB_23099_Body_fat_percentage	gwas	FAT_UKB	Anthropometric	#404040
region_chr10_44234627_46978910	5	Astle_et_al_2016_Granulocyte_count	gwas	GC	Blood	#C00000
region_chr15_40885316_42484201	60	Astle_et_al_2016_Granulocyte_count	gwas	GC	Blood	#C00000
region_chr17_57280180_59410151	21	Astle_et_al_2016_Myeloid_white_cell_count	gwas	MWBC	Blood	#C00000
region_chr2_113164279_116014894	25	Astle_et_al_2016_Lymphocyte_counts	gwas	LC	Blood	#C00000
region_chr3_85533081_87360582	607	UKB_21001_Body_mass_index_BMI	gwas	BMI_UKB	Anthropometric	#404040
region_chr5_147802435_149283061	34	Astle_et_al_2016_Sum_eosinophil_basophil_counts	gwas	EBC	Blood	#C00000
region_chr6_45438826_47344162	13	Astle_et_al_2016_Monocyte_count	gwas	MC	Blood	#C00000
region_chr7_25869935_28320690	12	Astle_et_al_2016_Monocyte_count	gwas	MC	Blood	#C00000
region_chr8_7295557_9297184	181	UKB_20002_1065_self_reported_hypertension	gwas	HPT_UKBS	Cardiometabolic	#004000
region_chr12_101468912_102571208	420	UKB_50_Standing_height	gwas	HEIGHT_UKB	Anthropometric	#404040
region_chr14_76763129_78095602	102	Astle_et_al_2016_Sum_basophil_neutrophil_counts	gwas	BNC	Blood	#C00000
region_chr19_610729_2098397	7	Astle_et_al_2016_Sum_eosinophil_basophil_counts	gwas	EBC	Blood	#C00000
region_chr4_185987936_187551827	79	UKB_6152_7_diagnosed_by_doctor_Blood_clot_in_the_lung	gwas	PE_UKB	Cardiometabolic	#004000
region_chr22_38911889_40149793	4	GIANT_HEIGHT	gwas	HEIGHT	Anthropometric	#404040
region_chr2_166499460_169111726	16	Astle_et_al_2016_Monocyte_count	gwas	MC	Blood	#C00000
region_chr3_196244537_197349116	1	UKB_20002_1111_self_reported_asthma	gwas	ATH_UKBS	Allergy	#FFFF00
region_chr8_10605687_11421489	526	UKB_21001_Body_mass_index_BMI	gwas	BMI_UKB	Anthropometric	#404040
region_chr9_114257521_115159681	24	IBD.EUR.Inflammatory_Bowel_Disease	gwas	IBD	Immune	#40A0A0
region_chr11_55315181_58690022	121	UKB_50_Standing_height	gwas	HEIGHT_UKB	Anthropometric	#404040
region_chr12_101468912_102571208	64	GIANT_HEIGHT	gwas	HEIGHT	Anthropometric	#404040
region_chr14_102545765_104535386	1	UKB_20002_1452_self_reported_eczema_or_dermatitis	gwas	ECZ_UKBS	Allergy	#FFFF00
region_chr16_2714828_3951195	1	Astle_et_al_2016_Neutrophil_count	gwas	NC	Blood	#C00000
region_chr1_64576021_66473721	6	UKB_50_Standing_height	gwas	HEIGHT_UKB	Anthropometric	#404040
region_chr4_121736832_123365326	606	UKB_6152_9_diagnosed_by_doctor_Hayfever_allergic_rhinitis_or_eczema	gwas	HAY_UKB	Immune	#40A0A0
region_chr12_91672378_94120791	42	Astle_et_al_2016_Eosinophil_counts	gwas	EC	Blood	#C00000
region_chr16_3951195_5068344	262	UKB_50_Standing_height	gwas	HEIGHT_UKB	Anthropometric	#404040
region_chr1_97419693_99335048	260	pgc.scz2	gwas	SCZ	Psychiatric-neurologic	#0000A0
region_chr2_166499460_169111726	24	Astle_et_al_2016_Sum_basophil_neutrophil_counts	gwas	BNC	Blood	#C00000
region_chr2_54458089_55976210	17	Astle_et_al_2016_Sum_neutrophil_eosinophil_counts	gwas	NEC	Blood	#C00000
region_chr2_54458089_55976210	8	UKB_21001_Body_mass_index_BMI	gwas	BMI_UKB	Anthropometric	#404040
region_chr5_137040361_139885487	1	GIANT_HEIGHT	gwas	HEIGHT	Anthropometric	#404040
region_chr5_141266403_143601683	54	UKB_20002_1111_self_reported_asthma	gwas	ATH_UKBS	Allergy	#FFFF00
region_chr7_72409900_73920272	11	UKB_50_Standing_height	gwas	HEIGHT_UKB	Anthropometric	#404040
region_chr19_13360313_14375535	5	Astle_et_al_2016_White_blood_cell_count	gwas	WBC	Blood	#C00000
region_chr3_140235755_141620255	110	Astle_et_al_2016_Neutrophil_count	gwas	NC	Blood	#C00000
region_chr4_4682389_5500661	31	GIANT_HEIGHT	gwas	HEIGHT	Anthropometric	#404040
region_chr6_26791023_28050041	269	Astle_et_al_2016_Granulocyte_count	gwas	GC	Blood	#C00000
region_chr7_44724229_45913323	129	Astle_et_al_2016_Myeloid_white_cell_count	gwas	MWBC	Blood	#C00000
region_chr8_4622954_5289405	3	UKB_23099_Body_fat_percentage	gwas	FAT_UKB	Anthropometric	#404040
region_chr12_121569746_124493434	150	Astle_et_al_2016_Lymphocyte_counts	gwas	LC	Blood	#C00000
region_chr19_16263605_18299052	21	BCAC_ER_positive_BreastCancer_EUR	gwas	ERPBC	Cancer	#A0A0A0
region_chr1_201620847_203365606	5	UKB_1200_Sleeplessness_or_insomnia	gwas	INSOMN_UKB	Psychiatric-neurologic	#0000A0
region_chr1_64576021_66473721	519	Astle_et_al_2016_White_blood_cell_count	gwas	WBC	Blood	#C00000
region_chr2_84913556_87738988	35	UKB_21001_Body_mass_index_BMI	gwas	BMI_UKB	Anthropometric	#404040
region_chr4_102300199_104384137	696	Astle_et_al_2016_Lymphocyte_counts	gwas	LC	Blood	#C00000
region_chr4_142522112_145257035	1327	Astle_et_al_2016_Reticulocyte_count	gwas	RET	Blood	#C00000
region_chr4_71274841_73726673	12	Astle_et_al_2016_Granulocyte_count	gwas	GC	Blood	#C00000
region_chr5_97979897_99925288	65	Astle_et_al_2016_Eosinophil_counts	gwas	EC	Blood	#C00000
region_chr6_100182270_102188897	58	UKB_2395_2_Hair_or_balding_pattern_Pattern_2	gwas	BLDP2_UKB	Hair morphology	#808000
region_chr6_28050041_28949831	1045	Astle_et_al_2016_Lymphocyte_counts	gwas	LC	Blood	#C00000
region_chr11_46984586_49844498	5	UKB_6152_7_diagnosed_by_doctor_Blood_clot_in_the_lung	gwas	PE_UKB	Cardiometabolic	#004000
region_chr19_610729_2098397	3	IGAP_Alzheimer	gwas	AD	Psychiatric-neurologic	#0000A0
region_chr2_35896940_37905569	3	Astle_et_al_2016_Platelet_count	gwas	PLT	Blood	#C00000
region_chr5_982137_2132328	5	BCAC_ER_positive_BreastCancer_EUR	gwas	ERPBC	Cancer	#A0A0A0
region_chr7_43119475_44724229	2	UKB_50_Standing_height	gwas	HEIGHT_UKB	Anthropometric	#404040
region_chr9_14836365_16659657	8	UKB_50_Standing_height	gwas	HEIGHT_UKB	Anthropometric	#404040
region_chr9_3190064_4495328	25	UKB_1160_Sleep_duration	gwas	SLEEP_UKB	Psychiatric-neurologic	#0000A0
region_chr9_4495328_4884926	8	Astle_et_al_2016_Myeloid_white_cell_count	gwas	MWBC	Blood	#C00000
region_chr11_46984586_49844498	1343	UKB_20002_1065_self_reported_hypertension	gwas	HPT_UKBS	Cardiometabolic	#004000
region_chr13_78234678_80011541	4	UKB_23099_Body_fat_percentage	gwas	FAT_UKB	Anthropometric	#404040
region_chr19_15537799_16263605	74	Astle_et_al_2016_Platelet_count	gwas	PLT	Blood	#C00000
region_chr1_7187275_9305140	11	IBD.EUR.Crohns_Disease	gwas	CD	Immune	#40A0A0
region_chr1_9305140_10746927	1	BCAC_Overall_BreastCancer_EUR	gwas	BC	Cancer	#A0A0A0
region_chr5_76503041_78327508	216	UKB_50_Standing_height	gwas	HEIGHT_UKB	Anthropometric	#404040
region_chr10_94461486_96062600	11	GIANT_HEIGHT	gwas	HEIGHT	Anthropometric	#404040
region_chr12_52645220_54385039	35	UKB_20002_1065_self_reported_hypertension	gwas	HPT_UKBS	Cardiometabolic	#004000
region_chr13_38304026_40495126	64	Astle_et_al_2016_Eosinophil_counts	gwas	EC	Blood	#C00000
region_chr2_23118512_24464049	628	Astle_et_al_2016_Lymphocyte_counts	gwas	LC	Blood	#C00000
region_chr2_232685293_234242343	12	Astle_et_al_2016_Sum_eosinophil_basophil_counts	gwas	EBC	Blood	#C00000
region_chr5_173251324_174215868	62	Astle_et_al_2016_Neutrophil_count	gwas	NC	Blood	#C00000
region_chr6_163962489_165173375	50	Astle_et_al_2016_Red_blood_cell_count	gwas	RBC	Blood	#C00000
region_chr6_30830391_31603441	1483	Astle_et_al_2016_Red_blood_cell_count	gwas	RBC	Blood	#C00000
region_chr6_6784974_7808703	20	Astle_et_al_2016_Monocyte_count	gwas	MC	Blood	#C00000
region_chr6_9019793_10540084	694	UKB_2395_4_Hair_or_balding_pattern_Pattern_4	gwas	BLDP4_UKB	Hair morphology	#808000
region_chr17_2025437_3799018	66	Astle_et_al_2016_Lymphocyte_counts	gwas	LC	Blood	#C00000
region_chr19_32255614_33772047	57	Astle_et_al_2016_Red_blood_cell_count	gwas	RBC	Blood	#C00000
region_chr5_121116471_123221211	15	UKB_20002_1065_self_reported_hypertension	gwas	HPT_UKBS	Cardiometabolic	#004000
region_chr6_30830391_31603441	6616	UKB_20002_1453_self_reported_psoriasis	gwas	PSO_UKBS	Immune	#40A0A0
region_chr17_29007226_31459473	9	UKB_20022_Birth_weight	gwas	BW_UKB	Anthropometric	#404040
region_chr1_247181216_248945267	18	Astle_et_al_2016_Sum_neutrophil_eosinophil_counts	gwas	NEC	Blood	#C00000
region_chr1_9305140_10746927	24	UKB_20002_1065_self_reported_hypertension	gwas	HPT_UKBS	Cardiometabolic	#004000
region_chr2_53281314_54458089	22	Jones_et_al_2016_Chronotype	gwas	CHRONO	Psychiatric-neurologic	#0000A0
region_chr3_128476018_130525891	1	IMMUNOBASE_Systemic_lupus_erythematosus_hg19	gwas	SLE	Immune	#40A0A0
region_chr3_51797999_54047363	20	UKB_20002_1065_self_reported_hypertension	gwas	HPT_UKBS	Cardiometabolic	#004000
region_chr7_25869935_28320690	71	UKB_6152_9_diagnosed_by_doctor_Hayfever_allergic_rhinitis_or_eczema	gwas	HAY_UKB	Immune	#40A0A0
region_chr7_933116_1313431	13	Astle_et_al_2016_Red_blood_cell_count	gwas	RBC	Blood	#C00000
region_chr10_102620653_104935290	101	GIANT_HEIGHT	gwas	HEIGHT	Anthropometric	#404040
region_chr12_119316305_121569746	12	UKB_6152_9_diagnosed_by_doctor_Hayfever_allergic_rhinitis_or_eczema	gwas	HAY_UKB	Immune	#40A0A0
region_chr17_74676064_76379479	105	UKB_50_Standing_height	gwas	HEIGHT_UKB	Anthropometric	#404040
region_chr1_204711940_206268085	78	UKB_50_Standing_height	gwas	HEIGHT_UKB	Anthropometric	#404040
region_chr1_91420760_93070902	344	GIANT_HEIGHT	gwas	HEIGHT	Anthropometric	#404040
region_chr2_120546207_122545330	61	UKB_50_Standing_height	gwas	HEIGHT_UKB	Anthropometric	#404040
region_chr3_35241966_36445350	4	UKB_20127_Neuroticism_score	gwas	NEUROT_UKB	Psychiatric-neurologic	#0000A0
region_chr6_29770194_30830391	377	UKB_20002_1111_self_reported_asthma	gwas	ATH_UKBS	Allergy	#FFFF00
region_chr6_42070983_43788432	2	Astle_et_al_2016_Eosinophil_counts	gwas	EC	Blood	#C00000
region_chr7_91032469_92864438	272	GIANT_HEIGHT	gwas	HEIGHT	Anthropometric	#404040
region_chr8_10605687_11421489	889	UKB_20127_Neuroticism_score	gwas	NEUROT_UKB	Psychiatric-neurologic	#0000A0
region_chr10_18248338_19427949	67	UKB_20002_1065_self_reported_hypertension	gwas	HPT_UKBS	Cardiometabolic	#004000
region_chr10_58530227_60131651	11	UKB_20002_1466_self_reported_gout	gwas	GOUT_UKBS	Skeletal system disease	#B0B0FF
region_chr14_102545765_104535386	23	Astle_et_al_2016_Reticulocyte_count	gwas	RET	Blood	#C00000
region_chr14_102545765_104535386	240	pgc.scz2	gwas	SCZ	Psychiatric-neurologic	#0000A0
region_chr17_21387045_29007226	12	Astle_et_al_2016_Reticulocyte_count	gwas	RET	Blood	#C00000
region_chr21_31296327_33004691	1	UKB_20002_1065_self_reported_hypertension	gwas	HPT_UKBS	Cardiometabolic	#004000
region_chr2_237852338_239030947	182	UKB_2395_4_Hair_or_balding_pattern_Pattern_4	gwas	BLDP4_UKB	Hair morphology	#808000
region_chr4_67989047_70183435	13	UKB_20002_1473_self_reported_high_cholesterol	gwas	HC_UKBS	Cardiometabolic	#004000
region_chr5_173251324_174215868	156	GIANT_HEIGHT	gwas	HEIGHT	Anthropometric	#404040
region_chr6_13209156_14802693	5	IBD.EUR.Inflammatory_Bowel_Disease	gwas	IBD	Immune	#40A0A0
region_chr6_28949831_29770194	415	IMMUNOBASE_Systemic_lupus_erythematosus_hg19	gwas	SLE	Immune	#40A0A0
region_chr1_3666172_4320751	189	Astle_et_al_2016_High_light_scatter_reticulocyte_count	gwas	HRET	Blood	#C00000
region_chr7_44724229_45913323	94	Astle_et_al_2016_Platelet_count	gwas	PLT	Blood	#C00000
region_chr10_4530082_5941799	65	GIANT_HEIGHT	gwas	HEIGHT	Anthropometric	#404040
region_chr16_84412277_85115079	24	Astle_et_al_2016_High_light_scatter_reticulocyte_count	gwas	HRET	Blood	#C00000
region_chr1_212668988_214404923	30	Astle_et_al_2016_Red_blood_cell_count	gwas	RBC	Blood	#C00000
region_chr1_226623159_229020501	1	UKB_20002_1065_self_reported_hypertension	gwas	HPT_UKBS	Cardiometabolic	#004000
region_chr2_109814855_113164279	281	Astle_et_al_2016_Red_blood_cell_count	gwas	RBC	Blood	#C00000
region_chr3_10977979_13029299	61	GIANT_HEIGHT	gwas	HEIGHT	Anthropometric	#404040
region_chr8_118673218_120189461	616	UKB_50_Standing_height	gwas	HEIGHT_UKB	Anthropometric	#404040
region_chr14_24435917_25666480	4	Astle_et_al_2016_Eosinophil_counts	gwas	EC	Blood	#C00000
region_chr5_159398690_160546937	76	UKB_20002_1453_self_reported_psoriasis	gwas	PSO_UKBS	Immune	#40A0A0
region_chr6_86359782_88112422	464	Astle_et_al_2016_Neutrophil_count	gwas	NC	Blood	#C00000
region_chr8_65576855_68950822	16	Astle_et_al_2016_Monocyte_count	gwas	MC	Blood	#C00000
region_chr10_44234627_46978910	879	Astle_et_al_2016_High_light_scatter_reticulocyte_count	gwas	HRET	Blood	#C00000
region_chr13_26710225_28683414	1	UKB_50_Standing_height	gwas	HEIGHT_UKB	Anthropometric	#404040
region_chr15_62923023_64812469	45	Astle_et_al_2016_White_blood_cell_count	gwas	WBC	Blood	#C00000
region_chr17_38653091_40721152	283	Astle_et_al_2016_Red_blood_cell_count	gwas	RBC	Blood	#C00000
region_chr1_154797927_156366342	20	UKB_20022_Birth_weight	gwas	BW_UKB	Anthropometric	#404040
region_chr1_204711940_206268085	63	Astle_et_al_2016_Red_blood_cell_count	gwas	RBC	Blood	#C00000
region_chr3_10977979_13029299	12	UKB_20002_1473_self_reported_high_cholesterol	gwas	HC_UKBS	Cardiometabolic	#004000
region_chr6_29770194_30830391	389	UKB_6152_8_diagnosed_by_doctor_Asthma	gwas	ATH_UKB	Immune	#40A0A0
region_chr10_98908643_101189482	5	UKB_21001_Body_mass_index_BMI	gwas	BMI_UKB	Anthropometric	#404040
region_chr1_107867043_109761309	10	Astle_et_al_2016_Sum_neutrophil_eosinophil_counts	gwas	NEC	Blood	#C00000
region_chr2_60064865_62201909	243	Astle_et_al_2016_Red_blood_cell_count	gwas	RBC	Blood	#C00000
region_chr6_31603441_32714887	5003	UKB_20002_1225_self_reported_hyperthyroidism_or_thyrotoxicosis	gwas	HYPERTHY_UKBS	Endocrine system	#FF8000
region_chr15_87826712_89932319	264	GIANT_HEIGHT	gwas	HEIGHT	Anthropometric	#404040
region_chr15_87826712_89932319	471	UKB_50_Standing_height	gwas	HEIGHT_UKB	Anthropometric	#404040
region_chr6_100182270_102188897	6	UKB_2395_4_Hair_or_balding_pattern_Pattern_4	gwas	BLDP4_UKB	Hair morphology	#808000
region_chr6_32714887_33268720	911	Astle_et_al_2016_Sum_eosinophil_basophil_counts	gwas	EBC	Blood	#C00000
region_chr8_11421489_13634266	82	Astle_et_al_2016_Sum_neutrophil_eosinophil_counts	gwas	NEC	Blood	#C00000
region_chr13_56980083_57836492	71	SSGAC_Education_Years_Pooled	gwas	EDU	Psychiatric-neurologic	#0000A0
region_chr16_71020125_72901251	6	UKB_21001_Body_mass_index_BMI	gwas	BMI_UKB	Anthropometric	#404040
region_chr1_55947444_56556055	132	UKB_50_Standing_height	gwas	HEIGHT_UKB	Anthropometric	#404040
region_chr2_43082452_44086664	8	UKB_20002_1065_self_reported_hypertension	gwas	HPT_UKBS	Cardiometabolic	#004000
region_chr2_65706310_66999034	7	CNCR_Insomnia_all	gwas	INSOMN	Psychiatric-neurologic	#0000A0
region_chr3_49279539_51797999	939	Astle_et_al_2016_High_light_scatter_reticulocyte_count	gwas	HRET	Blood	#C00000
region_chr4_12321410_14270377	498	UKB_50_Standing_height	gwas	HEIGHT_UKB	Anthropometric	#404040
region_chr5_130183332_132803957	572	UKB_20002_1111_self_reported_asthma	gwas	ATH_UKBS	Allergy	#FFFF00
region_chr6_17386174_19207256	6	UKB_50_Standing_height	gwas	HEIGHT_UKB	Anthropometric	#404040
region_chr11_46984586_49844498	402	UKB_21001_Body_mass_index_BMI	gwas	BMI_UKB	Anthropometric	#404040
region_chr16_81738931_82714123	91	UKB_50_Standing_height	gwas	HEIGHT_UKB	Anthropometric	#404040
region_chr2_44086664_46255495	1	Astle_et_al_2016_High_light_scatter_reticulocyte_count	gwas	HRET	Blood	#C00000
region_chr4_133707279_135645252	7	UKB_20022_Birth_weight	gwas	BW_UKB	Anthropometric	#404040
region_chr4_173342981_175649565	101	BCAC_ER_negative_BreastCancer_EUR	gwas	ERNBC	Cancer	#A0A0A0
region_chr5_157201689_159398690	41	Astle_et_al_2016_Lymphocyte_counts	gwas	LC	Blood	#C00000
region_chr9_6557589_7154923	2	UKB_6152_9_diagnosed_by_doctor_Hayfever_allergic_rhinitis_or_eczema	gwas	HAY_UKB	Immune	#40A0A0
region_chr13_31727678_33202766	1	UKB_23099_Body_fat_percentage	gwas	FAT_UKB	Anthropometric	#404040
region_chr19_3019662_4348970	49	UKB_23099_Body_fat_percentage	gwas	FAT_UKB	Anthropometric	#404040
region_chr3_141620255_143445786	23	UKB_50_Standing_height	gwas	HEIGHT_UKB	Anthropometric	#404040
region_chr5_132803957_135441711	3	IBD.EUR.Inflammatory_Bowel_Disease	gwas	IBD	Immune	#40A0A0
region_chr7_25869935_28320690	62	Astle_et_al_2016_Granulocyte_count	gwas	GC	Blood	#C00000
region_chr8_6285276_7295557	1	Astle_et_al_2016_Sum_basophil_neutrophil_counts	gwas	BNC	Blood	#C00000
region_chr10_44234627_46978910	391	Astle_et_al_2016_Red_blood_cell_count	gwas	RBC	Blood	#C00000
region_chr11_49844498_54927998	123	UKB_50_Standing_height	gwas	HEIGHT_UKB	Anthropometric	#404040
region_chr15_40885316_42484201	111	UKB_20002_1065_self_reported_hypertension	gwas	HPT_UKBS	Cardiometabolic	#004000
region_chr2_170369735_172274177	48	GIANT_HEIGHT	gwas	HEIGHT	Anthropometric	#404040
region_chr2_197213386_198446401	20	UKB_23099_Body_fat_percentage	gwas	FAT_UKB	Anthropometric	#404040
region_chr2_224975287_227255126	10	Astle_et_al_2016_Lymphocyte_counts	gwas	LC	Blood	#C00000
region_chr2_58070180_60064865	59	UKB_50_Standing_height	gwas	HEIGHT_UKB	Anthropometric	#404040
region_chr6_28949831_29770194	18	UKB_6152_9_diagnosed_by_doctor_Hayfever_allergic_rhinitis_or_eczema	gwas	HAY_UKB	Immune	#40A0A0
region_chr6_43788432_45438826	5	Astle_et_al_2016_Reticulocyte_count	gwas	RET	Blood	#C00000
region_chr15_68725660_69841002	123	UKB_2395_4_Hair_or_balding_pattern_Pattern_4	gwas	BLDP4_UKB	Hair morphology	#808000
region_chr17_21387045_29007226	1	UKB_50_Standing_height	gwas	HEIGHT_UKB	Anthropometric	#404040
region_chr1_201620847_203365606	88	UKB_21001_Body_mass_index_BMI	gwas	BMI_UKB	Anthropometric	#404040
region_chr3_184051895_185350467	3	UKB_50_Standing_height	gwas	HEIGHT_UKB	Anthropometric	#404040
region_chr6_30830391_31603441	112	UKB_20002_1452_self_reported_eczema_or_dermatitis	gwas	ECZ_UKBS	Allergy	#FFFF00
region_chr9_136047132_136605890	44	IBD.EUR.Ulcerative_Colitis	gwas	UC	Immune	#40A0A0
region_chr13_112918174_114344378	61	Astle_et_al_2016_Lymphocyte_counts	gwas	LC	Blood	#C00000
region_chr14_34377045_35390387	53	Astle_et_al_2016_High_light_scatter_reticulocyte_count	gwas	HRET	Blood	#C00000
region_chr15_78223711_80568637	190	Astle_et_al_2016_Reticulocyte_count	gwas	RET	Blood	#C00000
region_chr1_170588635_173128768	284	UKB_2395_3_Hair_or_balding_pattern_Pattern_3	gwas	BLDP3_UKB	Hair morphology	#808000
